epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.309,2.29143,3.54353,2.08882,0.56407,0.37099,0.40204,0.1637,2.23311,2.39425,2.15204,0.000165049,0.000165049,0.000165049
2,253.926,1.89724,1.77147,1.74317,0.66523,0.68663,0.76464,0.35678,1.94779,1.63292,2.03847,0.000318579,0.000318579,0.000318579
3,385.138,1.85339,1.55242,1.70756,0.68694,0.67413,0.72732,0.34243,2.01561,1.6119,2.01107,0.00045891,0.00045891,0.00045891
4,540.171,1.81156,1.37728,1.68269,0.67846,0.70763,0.75936,0.37395,1.88228,1.57753,1.88838,0.0004406,0.0004406,0.0004406
5,663.605,1.75092,1.24287,1.61197,0.69432,0.82501,0.83752,0.3915,1.88866,1.34096,1.85456,0.0004208,0.0004208,0.0004208
6,821.722,1.7169,1.20674,1.61125,0.84383,0.8324,0.85928,0.43926,1.78275,1.051,1.81211,0.000401,0.000401,0.000401
7,961.659,1.68382,1.13366,1.58165,0.81919,0.83359,0.88665,0.46059,1.72881,1.00918,1.74899,0.0003812,0.0003812,0.0003812
8,1141.21,1.6662,1.09153,1.56222,0.81025,0.84669,0.8729,0.44634,1.70827,0.97352,1.73402,0.0003614,0.0003614,0.0003614
9,1264.85,1.6439,1.04422,1.53532,0.86625,0.87071,0.89443,0.47621,1.69554,0.8932,1.73254,0.0003416,0.0003416,0.0003416
10,1416.65,1.60385,0.98433,1.51352,0.87018,0.88379,0.90637,0.48362,1.67369,0.87088,1.68791,0.0003218,0.0003218,0.0003218
11,1584.75,1.57891,0.96059,1.49754,0.87175,0.87653,0.91308,0.49785,1.60758,0.83808,1.65672,0.000302,0.000302,0.000302
12,1737.21,1.55925,0.94326,1.48634,0.84205,0.90012,0.90847,0.49805,1.61557,0.8358,1.64682,0.0002822,0.0002822,0.0002822
13,1838.31,1.52223,0.91102,1.46204,0.8686,0.89771,0.90741,0.49802,1.62391,0.78881,1.658,0.0002624,0.0002624,0.0002624
14,1996.68,1.51922,0.87309,1.45803,0.89975,0.89915,0.92246,0.51355,1.58767,0.78646,1.63212,0.0002426,0.0002426,0.0002426
15,2140.22,1.4819,0.85543,1.44155,0.87406,0.89382,0.92049,0.51149,1.57406,0.79656,1.60634,0.0002228,0.0002228,0.0002228
16,2317.26,1.4809,0.75601,1.5293,0.87365,0.90117,0.91909,0.53357,1.51264,0.74569,1.56905,0.000203,0.000203,0.000203
17,2447.1,1.43551,0.71485,1.48982,0.8898,0.91294,0.92731,0.53863,1.52222,0.73595,1.58267,0.0001832,0.0001832,0.0001832
18,2591.83,1.40861,0.69467,1.46346,0.90841,0.91289,0.93232,0.55086,1.46085,0.71534,1.53445,0.0001634,0.0001634,0.0001634
19,2739.83,1.38431,0.67369,1.45273,0.91814,0.9082,0.93054,0.55947,1.46592,0.68355,1.5333,0.0001436,0.0001436,0.0001436
20,2879.82,1.36502,0.65334,1.43282,0.91682,0.92526,0.94259,0.55808,1.4607,0.66277,1.53467,0.0001238,0.0001238,0.0001238
21,3004.07,1.34105,0.6383,1.42558,0.92783,0.91145,0.93619,0.56245,1.43968,0.66106,1.51339,0.000104,0.000104,0.000104
22,3166.8,1.30714,0.61419,1.39475,0.93341,0.91906,0.94608,0.57648,1.41844,0.63044,1.49034,8.42e-05,8.42e-05,8.42e-05
23,3326.54,1.29259,0.60035,1.37904,0.94535,0.92109,0.95108,0.58194,1.3984,0.62741,1.47224,6.44e-05,6.44e-05,6.44e-05
24,3476.08,1.2608,0.58324,1.36417,0.94376,0.91584,0.95213,0.58655,1.37542,0.61365,1.4585,4.46e-05,4.46e-05,4.46e-05
25,3592.6,1.25064,0.57555,1.36248,0.93164,0.93023,0.95101,0.58996,1.38816,0.60277,1.4681,2.48e-05,2.48e-05,2.48e-05
