epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6703,2.53223,4.78234,2.16108,0.72642,0.08373,0.14692,0.05113,2.26489,3.40912,1.85628,0.000165049,0.000165049,0.000165049
2,36.9926,2.05328,3.23902,1.69855,0.55708,0.50514,0.51939,0.21896,2.0443,2.28306,1.75377,0.000315295,0.000315295,0.000315295
3,55.7544,1.92533,2.42648,1.60718,0.7002,0.58829,0.66754,0.30152,1.94253,1.87024,1.71687,0.000449042,0.000449042,0.000449042
4,73.4824,1.83731,2.0411,1.5638,0.76746,0.74164,0.79365,0.3913,1.85908,1.46672,1.66082,0.00042575,0.00042575,0.00042575
5,92.0166,1.77416,1.82615,1.51215,0.64772,0.66402,0.68731,0.31193,1.89256,1.6332,1.66707,0.000401,0.000401,0.000401
6,110.607,1.72013,1.67958,1.49095,0.78925,0.74886,0.80535,0.39665,1.81575,1.33975,1.6558,0.00037625,0.00037625,0.00037625
7,128.683,1.69922,1.5991,1.47193,0.82302,0.8342,0.86882,0.45754,1.68607,1.14317,1.53357,0.0003515,0.0003515,0.0003515
8,145.304,1.67277,1.5115,1.45627,0.78221,0.82009,0.85059,0.42949,1.74466,1.16,1.6057,0.00032675,0.00032675,0.00032675
9,162.297,1.65091,1.4397,1.43379,0.83858,0.86059,0.8837,0.47793,1.6341,1.05003,1.51138,0.000302,0.000302,0.000302
10,179.727,1.61713,1.35803,1.40899,0.8644,0.85265,0.88689,0.47429,1.65311,1.01677,1.51349,0.00027725,0.00027725,0.00027725
11,228.512,1.58204,1.27583,1.44943,0.85344,0.87403,0.8993,0.48333,1.61369,0.99452,1.49283,0.0002525,0.0002525,0.0002525
12,246.734,1.54255,1.19472,1.42699,0.87261,0.87884,0.90335,0.49182,1.60634,0.95776,1.4774,0.00022775,0.00022775,0.00022775
13,266.907,1.52429,1.13356,1.41942,0.8637,0.87725,0.9064,0.50004,1.60063,0.92217,1.48982,0.000203,0.000203,0.000203
14,285.305,1.49084,1.09221,1.38983,0.87233,0.89194,0.90611,0.50847,1.55729,0.88888,1.44693,0.00017825,0.00017825,0.00017825
15,304.07,1.47734,1.05884,1.38584,0.88177,0.89316,0.9151,0.50924,1.55776,0.86371,1.44961,0.0001535,0.0001535,0.0001535
16,323.276,1.46985,1.02604,1.3678,0.88279,0.89219,0.915,0.52132,1.50338,0.84448,1.4105,0.00012875,0.00012875,0.00012875
17,342.573,1.43445,0.99386,1.34707,0.87617,0.90345,0.92006,0.52399,1.51482,0.82837,1.42438,0.000104,0.000104,0.000104
18,362.635,1.42328,0.98202,1.34521,0.87658,0.9009,0.91407,0.52333,1.50092,0.82959,1.40616,7.925e-05,7.925e-05,7.925e-05
19,383.389,1.40965,0.95605,1.33863,0.90584,0.90276,0.92329,0.53567,1.47599,0.79707,1.39494,5.45e-05,5.45e-05,5.45e-05
20,401.13,1.38767,0.95265,1.32904,0.88742,0.91026,0.92335,0.53805,1.46706,0.79493,1.39134,2.975e-05,2.975e-05,2.975e-05
