fitness,lr0
0.0,0.01
0.0,0.01057
0.0,0.01053
0.0,0.01053
0.0,0.01212
0.0,0.01147
0.0,0.00987
0.0,0.01196
0.0,0.01
0.0,0.01057
0.0,0.01094
0.0,0.0126
0.0,0.01094
0.0,0.0123
0.0,0.0123
0.0,0.01226
0.0,0.01164
0.0,0.01012
0.0,0.01008
0.0,0.01008
0.0,0.01122
