epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8451,2.43419,3.82417,2.20116,0.12782,0.0519,0.0017,0.00058,2.74488,inf,10.0259,0.0702913,0.00330097,0.00330097
2,38.7976,2.28574,2.79433,2.13118,0.80073,0.06064,0.06422,0.01956,2.87242,7.29271,3.04158,0.0400723,0.00641537,0.00641537
3,54.3518,2.19761,2.44488,2.05453,0.20267,0.13226,0.07223,0.02569,2.97026,9.15835,3.295,0.0096334,0.00930977,0.00930977
4,69.6014,2.12931,2.21621,2.00342,0.66446,0.03617,0.03248,0.009,3.01803,4.95048,3.01618,0.00901,0.00901,0.00901
5,85.0116,2.03523,1.99319,1.90802,0.28245,0.26428,0.22474,0.09028,2.45924,4.17676,2.59941,0.00868,0.00868,0.00868
6,100.478,1.9873,1.86936,1.90393,0.60046,0.53948,0.59699,0.25458,2.1442,3.18586,2.19783,0.00835,0.00835,0.00835
7,115.838,1.93277,1.76818,1.85044,0.63237,0.63609,0.67237,0.30279,2.15292,2.38039,2.1376,0.00802,0.00802,0.00802
8,131.324,1.91753,1.68248,1.83768,0.68372,0.66106,0.74526,0.35132,1.97235,1.9884,2.06556,0.00769,0.00769,0.00769
9,146.566,1.88,1.60791,1.80609,0.77105,0.71714,0.80153,0.39729,1.87672,1.63478,1.98014,0.00736,0.00736,0.00736
10,162.099,1.86138,1.55384,1.79439,0.5862,0.51971,0.54302,0.22447,2.18507,2.32769,2.18139,0.00703,0.00703,0.00703
11,177.496,1.81824,1.49273,1.75816,0.70354,0.74962,0.8143,0.4045,1.83837,1.84017,1.9474,0.0067,0.0067,0.0067
12,193.061,1.80834,1.44596,1.75062,0.70856,0.71251,0.76675,0.35012,1.92474,1.55529,2.00465,0.00637,0.00637,0.00637
13,208.291,1.76964,1.41516,1.72514,0.79001,0.81883,0.85974,0.427,1.78372,1.25645,1.88035,0.00604,0.00604,0.00604
14,223.988,1.74881,1.3445,1.69969,0.73783,0.8071,0.8478,0.43178,1.76894,1.36958,1.8634,0.00571,0.00571,0.00571
15,240.019,1.73318,1.31428,1.69535,0.69283,0.69775,0.73451,0.33273,1.95974,1.57321,2.03092,0.00538,0.00538,0.00538
16,255.464,1.73225,1.32059,1.68875,0.86807,0.78521,0.86632,0.43279,1.7558,1.24116,1.87265,0.00505,0.00505,0.00505
17,270.837,1.69684,1.26506,1.67125,0.72235,0.62545,0.68919,0.31059,2.08832,1.77927,2.06077,0.00472,0.00472,0.00472
18,286.159,1.70467,1.26347,1.66967,0.73433,0.65507,0.71029,0.33397,1.96607,1.78275,2.00813,0.00439,0.00439,0.00439
19,301.501,1.6965,1.23516,1.65629,0.83159,0.8671,0.89365,0.47623,1.66135,1.01269,1.77587,0.00406,0.00406,0.00406
20,317.013,1.6579,1.1667,1.62384,0.83066,0.86069,0.88145,0.47315,1.69472,1.07664,1.80039,0.00373,0.00373,0.00373
21,359.183,1.63838,1.0521,1.70306,0.88502,0.83068,0.88206,0.45808,1.67704,1.06649,1.7716,0.0034,0.0034,0.0034
22,374.479,1.59401,0.97682,1.67138,0.86082,0.86417,0.89662,0.48212,1.63312,0.99737,1.74396,0.00307,0.00307,0.00307
23,389.405,1.57001,0.95416,1.65888,0.82713,0.86954,0.89135,0.4765,1.66284,1.02039,1.76468,0.00274,0.00274,0.00274
24,404.373,1.5473,0.92419,1.64948,0.85466,0.88936,0.90093,0.48879,1.65049,0.97714,1.75097,0.00241,0.00241,0.00241
25,419.269,1.53707,0.89532,1.63688,0.87529,0.88933,0.91481,0.49545,1.61315,0.90736,1.72811,0.00208,0.00208,0.00208
26,434.186,1.51801,0.88397,1.61793,0.86361,0.88925,0.91135,0.51208,1.57933,0.8867,1.70643,0.00175,0.00175,0.00175
27,449.202,1.50879,0.87538,1.6111,0.8603,0.89068,0.91695,0.51446,1.57071,0.86674,1.70056,0.00142,0.00142,0.00142
28,464.108,1.48497,0.85066,1.59978,0.85731,0.8935,0.91757,0.51636,1.54024,0.90296,1.67948,0.00109,0.00109,0.00109
29,479.119,1.46672,0.83411,1.58661,0.87473,0.90479,0.91561,0.50798,1.57317,0.87109,1.69554,0.00076,0.00076,0.00076
30,495.071,1.44777,0.8103,1.55948,0.87552,0.91127,0.92204,0.52236,1.52567,0.84614,1.66105,0.00043,0.00043,0.00043
