epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2365,2.43386,3.78516,2.20369,0,0,0,0,0,0,0,0.0701328,0.00314252,0.00314252
2,37.7909,2.27371,2.74347,2.13141,0,0,0,0,0,0,0,0.0397644,0.00610743,0.00610743
3,52.3246,2.14475,2.35788,2.02971,0,0,0,0,0,0,0,0.00918653,0.0088629,0.0088629
4,66.213,2.07326,2.1178,1.98981,0,0,0,0,0,0,0,0.00857752,0.00857752,0.00857752
5,79.1556,2.00996,1.95344,1.9133,0,0,0,0,0,0,0,0.00826336,0.00826336,0.00826336
6,92.0816,1.9641,1.85831,1.89829,0,0,0,0,0,0,0,0.0079492,0.0079492,0.0079492
7,104.961,1.938,1.78431,1.87422,0,0,0,0,0,0,0,0.00763504,0.00763504,0.00763504
