epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4178,2.43105,3.8461,2.21739,0.44835,0.06716,0.01432,0.00396,2.81021,25.4339,2.83892,0.0702913,0.00330097,0.00330097
2,35.0263,2.2675,2.82649,2.16924,0.67121,0.08223,0.05334,0.01816,2.92831,61.4181,3.55124,0.0400723,0.00641537,0.00641537
3,50.6559,2.2109,2.58345,2.10096,0.15456,0.16013,0.1145,0.03418,2.93976,4.32297,4.22452,0.0096334,0.00930977,0.00930977
4,66.1142,2.13962,2.2702,2.04906,0.15487,0.12476,0.05901,0.02372,3.38134,7.95509,3.47721,0.00901,0.00901,0.00901
5,81.5445,2.05694,2.08112,1.973,0.35595,0.55642,0.43708,0.17569,2.16998,6.27189,2.27881,0.00868,0.00868,0.00868
6,97.011,1.98838,1.93313,1.94624,0.6099,0.56892,0.68246,0.31088,2.04318,2.10127,2.14192,0.00835,0.00835,0.00835
7,112.631,1.95349,1.79728,1.89605,0.64063,0.4714,0.61015,0.28373,2.09555,2.04521,2.14024,0.00802,0.00802,0.00802
8,127.872,1.92877,1.71857,1.86692,0.62381,0.6329,0.64403,0.31106,1.96513,1.94951,2.07771,0.00769,0.00769,0.00769
9,144.19,1.88336,1.60565,1.83419,0.68608,0.55899,0.67129,0.31986,1.95933,1.9954,2.05372,0.00736,0.00736,0.00736
10,160.394,1.86418,1.5813,1.82085,0.76832,0.63242,0.73175,0.34439,1.98393,1.97545,2.05831,0.00703,0.00703,0.00703
11,176.748,1.84706,1.53099,1.7981,0.65923,0.68291,0.73937,0.33853,1.96466,2.09167,2.05631,0.0067,0.0067,0.0067
12,192.261,1.82015,1.48763,1.78162,0.81111,0.59859,0.74259,0.32439,2.07129,1.68702,2.09634,0.00637,0.00637,0.00637
13,207.675,1.78616,1.45596,1.76005,0.65423,0.70475,0.73308,0.34493,1.95331,2.23123,2.02508,0.00604,0.00604,0.00604
14,223.331,1.75989,1.38048,1.74164,0.72786,0.76411,0.82963,0.40824,1.82593,1.43037,1.93001,0.00571,0.00571,0.00571
15,238.745,1.75074,1.35907,1.73482,0.83577,0.7651,0.85361,0.42846,1.77104,1.26335,1.88424,0.00538,0.00538,0.00538
16,254.289,1.74495,1.36071,1.71308,0.76925,0.7306,0.80201,0.39112,1.81004,1.32862,1.90918,0.00505,0.00505,0.00505
17,269.689,1.74067,1.31228,1.71578,0.78079,0.73175,0.80991,0.39115,1.85934,1.36282,1.90306,0.00472,0.00472,0.00472
18,285.134,1.70963,1.29895,1.69767,0.79207,0.80527,0.85012,0.42157,1.78163,1.26625,1.8765,0.00439,0.00439,0.00439
19,300.566,1.70755,1.27458,1.68177,0.77432,0.80667,0.85657,0.42811,1.81369,1.2387,1.88979,0.00406,0.00406,0.00406
20,316.044,1.68652,1.20211,1.66549,0.76745,0.85061,0.87745,0.45546,1.73415,1.13371,1.85664,0.00373,0.00373,0.00373
21,358.355,1.63889,1.07113,1.7166,0.83701,0.77802,0.86618,0.4673,1.67621,1.14854,1.77638,0.0034,0.0034,0.0034
22,373.683,1.59109,0.9868,1.68078,0.82726,0.85685,0.88145,0.46491,1.70084,1.06296,1.79655,0.00307,0.00307,0.00307
23,388.664,1.58859,0.97281,1.68837,0.89709,0.83653,0.89429,0.47905,1.65455,1.00841,1.76173,0.00274,0.00274,0.00274
24,404.216,1.56502,0.94088,1.67512,0.84987,0.85172,0.89807,0.48713,1.63888,0.97406,1.74647,0.00241,0.00241,0.00241
25,420.702,1.54946,0.90874,1.65874,0.83414,0.8839,0.89414,0.48746,1.61624,1.00546,1.74106,0.00208,0.00208,0.00208
26,435.904,1.52386,0.89257,1.63759,0.82519,0.87211,0.89119,0.49333,1.59185,0.92797,1.71329,0.00175,0.00175,0.00175
27,452.171,1.51983,0.8872,1.63281,0.84548,0.87995,0.89464,0.49578,1.60545,0.9562,1.73421,0.00142,0.00142,0.00142
28,469.505,1.49551,0.85441,1.61588,0.8615,0.88826,0.9029,0.51051,1.57094,0.88589,1.69279,0.00109,0.00109,0.00109
29,485.461,1.47608,0.84904,1.60438,0.86956,0.87874,0.90702,0.50527,1.57105,0.87673,1.69608,0.00076,0.00076,0.00076
30,501.653,1.45871,0.81947,1.57823,0.8746,0.88736,0.91093,0.51262,1.55156,0.86743,1.67709,0.00043,0.00043,0.00043
